946	-125		26	67
947	-35		30	67
948	-90		31	67
949	-35		34	67
950	-40		32	67
951	-200		35	67
952	-200		36	67
953	-200		37	67
954	-20		38	67
955	-50		44	67
956	-382.83		10	67
957	-300		51	67
958	4816.58		0	68
959	0.02		6	68
960	-1167.54		8	68
961	-250		13	68
962	-110		14	68
963	-92		15	68
964	0		18	68
965	-117		16	68
966	-85		19	68
967	-12.5		21	68
968	-125		20	68
969	-350		17	68
970	-457.5		22	68
971	-125		26	68
972	-35		30	68
973	-90		31	68
974	-35		34	68
975	-40		32	68
976	-200		35	68
977	-200		36	68
978	-200		37	68
979	-20		38	68
980	-50		44	68
981	-382.83		10	68
982	-300		51	68
983	4816.58		0	69
984	0.02		6	69
985	-1167.54		8	69
986	-250		13	69
987	-110		14	69
988	-92		15	69
989	0		18	69
990	-117		16	69
991	-85		19	69
992	-12.5		21	69
993	-125		20	69
994	-350		17	69
995	-457.5		22	69
996	-125		26	69
997	-35		30	69
998	-90		31	69
999	-35		34	69
1000	-40		32	69
1001	-200		35	69
1002	-200		36	69
1003	-200		37	69
1004	-20		38	69
1005	-50		44	69
1006	-382.83		10	69
1007	4816.58		0	70
1008	0.02		6	70
1009	-1167.54		8	70
1010	-250		13	70
1011	-110		14	70
1012	-92		15	70
1013	0		18	70
1014	-117		16	70
1015	-85		19	70
1016	-12.5		21	70
1017	-125		20	70
1018	-350		17	70
1019	-457.5		22	70
1020	-125		26	70
1021	-35		30	70
1022	-90		31	70
1023	-35		34	70
1024	-40		32	70
1025	-200		35	70
1026	-200		36	70
1027	-200		37	70
1028	-20		38	70
1029	-50		44	70
1030	-382.83		10	70
1031	4816.58		0	71
1032	0.02		6	71
1033	-1167.54		8	71
1034	-250		13	71
1035	-110		14	71
1036	-92		15	71
1037	0		18	71
1038	-117		16	71
1039	-85		19	71
1040	-12.5		21	71
1041	-125		20	71
1042	-350		17	71
1043	-457.5		22	71
1044	-125		26	71
1045	-35		30	71
1046	-90		31	71
1047	-35		34	71
1048	-40		32	71
1049	-200		35	71
1050	-200		36	71
1051	-200		37	71
1052	-20		38	71
1053	-50		44	71
1054	0		10	71
1055	4816.58		0	72
1056	0.02		6	72
1057	-1167.54		8	72
1058	-250		13	72
1059	-110		14	72
1060	-92		15	72
1061	0		18	72
1062	-117		16	72
1063	-85		19	72
1064	-12.5		21	72
1065	-50		20	72
1066	-350		17	72
1067	-457.5		22	72
1068	-125		26	72
1069	-35		30	72
1070	-90		31	72
1071	-35		34	72
1072	-40		32	72
1073	-200		35	72
1074	-200		36	72
1075	-200		37	72
1076	-20		38	72
1077	-50		44	72
1078	0		10	72
